"sample.name","sample.type","sample.id"
"ULD001","DNA",1
"ULD002","DNA",2
"ULD003","DNA",3
"ULD004","DNA",4
"ULD005","DNA",5
"ULD006","DNA",6
"ULD007","DNA",7
"ULD008","DNA",8
"ULD009","DNA",9
"ULD010","DNA",10
"ULD011","DNA",11
"ULD012","DNA",12
"ULD013","DNA",13
"ULD014","DNA",14
"ULD015","DNA",15
"ULD016","DNA",16
"ULD017","DNA",17
"ULD018","DNA",18
"ULD019","DNA",19
"ULD020","DNA",20
"ULD021","DNA",21
"ULD022","DNA",22
"ULD023","DNA",23
"ULD024","DNA",24
"ULD025","DNA",25
"ULD026","DNA",26
"ULD027","DNA",27
"ULD028","DNA",28
"ULD029","DNA",29
"ULD030","DNA",30
"ULD031","DNA",31
"ULD032","DNA",32
"ULD034","DNA",34
"ULD035","DNA",35
"ULD036","DNA",36
"ULD037","DNA",37
"ULD038","DNA",38
"ULD039","DNA",39
"ULD040","DNA",40
"ULD041","DNA",41
"ULD042","DNA",42
"ULD043","DNA",43
"ULD044","DNA",44
"ULD045","DNA",45
"ULD046","DNA",46
"ULD047","DNA",47
"ULD048","DNA",48
"ULD049","DNA",49
"ULD050","DNA",50
"ULD051","DNA",51
"ULD052","DNA",52
"ULD053","DNA",53
"ULD054","DNA",54
"ULD055","DNA",55
"ULD056","DNA",56
"ULD057","DNA",57
"ULD058","DNA",58
"ULD059","DNA",59
"ULD060","DNA",60
"ULD061","DNA",61
"ULD062","DNA",62
"ULD063","DNA",63
"ULD064","DNA",64
"ULD065","DNA",65
"ULD066","DNA",66
"ULD067","DNA",67
"ULD068","DNA",68
"ULD069","DNA",69
"ULD070","DNA",70
"ULD071","DNA",71
"ULD072","DNA",72
"ULD073","DNA",73
"ULD074","DNA",74
"ULD075","DNA",75
"ULD076","DNA",76
"ULD077","DNA",77
"ULD078","DNA",78
"ULD079","DNA",79
"ULD080","DNA",80
"ULD081","DNA",81
"ULD082","DNA",82
"ULD083","DNA",83
"ULD084","DNA",84
"ULD085","DNA",85
"ULD086","DNA",86
"ULD087","DNA",87
"ULD088","DNA",88
"ULD089","DNA",89
"ULD090","DNA",90
"ULD091","DNA",91
"ULD092","DNA",92
"ULD093","DNA",93
"ULD094","DNA",94
"ULD095","DNA",95
"ULD096","DNA",96
"ULD097","DNA",97
"ULD098","DNA",98
"ULD099","DNA",99
"ULD100","DNA",100
"ULD101","DNA",101
"ULD102","DNA",102
"ULD103","DNA",103
"ULD104","DNA",104
"ULD105","DNA",105
"ULD106","DNA",106
"ULD107","DNA",107
"ULD108","DNA",108
"ULD109","DNA",109
"ULD110","DNA",110
"ULD111","DNA",111
"ULD112","DNA",112
"ULD113","DNA",113
"ULD114","DNA",114
"ULD115","DNA",115
"ULD116","DNA",116
"ULD117","DNA",117
"ULD118","DNA",118
"ULD119","DNA",119
"ULD120","DNA",120
"ULD121","DNA",121
"ULD122","DNA",122
"ULD123","DNA",123
"ULD124","DNA",124
"ULc001","RNA",1
"ULc002","RNA",2
"ULc003","RNA",3
"ULc004","RNA",4
"ULc005","RNA",5
"ULc006","RNA",6
"ULc007","RNA",7
"ULc008","RNA",8
"ULc009","RNA",9
"ULc010","RNA",10
"ULc011","RNA",11
"ULc012","RNA",12
"ULc013","RNA",13
"ULc014","RNA",14
"ULc015","RNA",15
"ULc016","RNA",16
"ULc017","RNA",17
"ULc018","RNA",18
"ULc019","RNA",19
"ULc020","RNA",20
"ULc021","RNA",21
"ULc022","RNA",22
"ULc023","RNA",23
"ULc024","RNA",24
"ULc025","RNA",25
"ULc026","RNA",26
"ULc027","RNA",27
"ULc028","RNA",28
"ULc029","RNA",29
"ULc030","RNA",30
"ULc031","RNA",31
"ULc032","RNA",32
"ULc034","RNA",34
"ULc035","RNA",35
"ULc036","RNA",36
"ULc037","RNA",37
"ULc038","RNA",38
"ULc039","RNA",39
"ULc040","RNA",40
"ULc041","RNA",41
"ULc042","RNA",42
"ULc043","RNA",43
"ULc044","RNA",44
"ULc045","RNA",45
"ULc046","RNA",46
"ULc047","RNA",47
"ULc048","RNA",48
"ULc049","RNA",49
"ULc050","RNA",50
"ULc051","RNA",51
"ULc052","RNA",52
"ULc053","RNA",53
"ULc054","RNA",54
"ULc055","RNA",55
"ULc056","RNA",56
"ULc057","RNA",57
"ULc058","RNA",58
"ULc059","RNA",59
"ULc060","RNA",60
"ULc061","RNA",61
"ULc062","RNA",62
"ULc063","RNA",63
"ULc064","RNA",64
"ULc065","RNA",65
"ULc066","RNA",66
"ULc067","RNA",67
"ULc068","RNA",68
"ULc069","RNA",69
"ULc070","RNA",70
"ULc071","RNA",71
"ULc072","RNA",72
"ULc073","RNA",73
"ULc074","RNA",74
"ULc075","RNA",75
"ULc076","RNA",76
"ULc077","RNA",77
"ULc078","RNA",78
"ULc079","RNA",79
"ULc080","RNA",80
"ULc081","RNA",81
"ULc082","RNA",82
"ULc083","RNA",83
