Sample ID	Date	Depth (m)	Water Temperature (°C)	SpC (mS/cm)	DO (mg/L)	Salinity (PSS)	Secchi Depth (m)	pH	ORP	Air Temperature °C	Chla_Vol(mL)	ZoopTow(m)	Amt. Biomass Filtered (ml)	Amt. Stable Isotopes Filtered	Sampler	Notes																																																																																																																																																					
001	04/19/13	0.5	13.47	0.481	8.96	0.23	0.28	8.13		3.9	60	3.0	250		Lennon and Nowinski	turbid water after rainstorm, cold and cloudy, 10:00 AM																																																																																																																																																					
002	04/25/13	0.5	11.71	0.548	9.37	0.26	1.25	8.12		23.9	60	3.0	200		Nowinski	clear water, sunny morning, 10:00 AM																																																																																																																																																					
003	05/02/13	0.5	19.58	0.567	9.48	0.27	2.12	8.28		22.4	60	3.0	450		Nowinski	clear water, sunny morning, 11:00 AM																																																																																																																																																					
004	05/09/13	0.5	18.36	0.553	12.41	0.27	1.50	8.45		23.9	60	3.0	400		Nowinski	much algal matter on surface, sunny, 11:00 AM																																																																																																																																																					
005	05/17/13	0.5	20.86	0.577	8.26	0.28	2.23	8.22		22.8	100	3.0	250		Nowinski	still water, little algal matter, partly cloudy, 11:00 AM																																																																																																																																																					
006	05/24/13	0.5	20.17	0.591	8.18	0.29	3.20	8.14		12.2	60	3.0	300		Nowinski	11:00, clear, sunny, few clouds																																																																																																																																																					
007	05/29/13	0.5	20.16	0.585	7.83	0.28	3.20	8.11		23.9	100	3.0	300		Lennon	10:00, clear, sunny, no pole sampler; mid-arm grab samples, environmental parameters measured with hydrolab in the lab; dry sensors																																																																																																																																																					
008	06/07/13	0.5	23.01	0.566	9.80	0.27	1.85	8.32		21.1	60	3.0	200		Nowinski	11:45, partly cloudy, gentle breeze																																																																																																																																																					
009	06/14/13	0.5	24.61	0.558	9.61	0.27	2.00	8.24		23.9	60;120;240	3.0	200	240	Nowinski	1:45, mostly sunny, slight breeze																																																																																																																																																					
010	06/21/13	0.5	25.17	0.524	9.02	0.25	2.18	8.38		27.2	90	3.0	200	148	Nowinski	11:15, sunny, light breeze																																																																																																																																																					
011	06/28/13	0.5	25.10	0.414	6.98	0.20	1.20	8.09		26.1	33	3.0	100	73	Nowinski	11:45, sunny, windy, pond debris/scum pushed against dock (~4-5m in length)																																																																																																																																																					
012	07/05/13	0.5	23.26	0.422	8.51	0.20	1.60	8.31		22.8	43	3.0	100	80	Nowinski	12:30, partly cloudy, little pond scum																																																																																																																																																					
013	07/12/13	0.5	25.12	0.438	9.47	0.21	2.25	8.61		23.9	46	3.0	200	106	Nowinski	11:00, sunny, gentle breeze																																																																																																																																																					
014	07/19/13	0.5	29.56	0.448	8.35	0.22	2.20	8.64		30.0	50	3.0	200	100	Nowinski	2:45 PM, partly cloudy, gentle breeze																																																																																																																																																					
015	07/26/19	0.5	25.05	0.415	9.63	0.20	2.05	8.67		16.1	30	1.0	200	180	Larsen	8:10 AM, clear, lots of debris																																																																																																																																																					
016	08/01/13	0.5	26.27	0.415	10.48	0.20	1.25	9.10		22.2	30	1.0	200	60	Larsen	6:45 PM, clear																																																																																																																																																					
017	08/09/13	0.5	25.78	0.418	8.35	0.20	1.75	8.91		22.0	45	1.0	200	120	Larsen and Myers	8:15 AM, foggy and humid																																																																																																																																																					
018	08/16/13	0.5	23.50	0.429	8.62	0.20	1.00	8.87		13.3	40	3.0	200	120	Larsen and Myers	8:23 AM, cool, sunny, slight breeze from northeast																																																																																																																																																					
019	08/23/13	0.5	25.34	0.428	8.26	0.20	2.00	8.99		28.0	40	3.0	200	120	Myers	1:18 PM, sunny and clear																																																																																																																																																					
020	08/30/13	0.5	27.08	0.431	7.27	0.20	2.70	8.89		32.0	40	3.0	200	120	Myers	13:22, sunny and clear																																																																																																																																																					
021	09/06/13	0.5	25.11	0.439	6.45	0.20	2.25	8.66		26.0	40	3.0	200	120	Myers	13:11, sunny and clear																																																																																																																																																					
022	09/13/13	0.5	29.77	0.435	6.00	0.27	2.00	8.75		19.0	40	3.0	200	120	Myers	13:10, mostly cloudy and windy																																																																																																																																																					
023	09/20/13	0.5	22.48	0.443	6.60	0.21	1.60	9.03		23.0	40	3.0	200	120	Myers	15:21, overcast with light rain																																																																																																																																																					
024	09/27/13	0.5	20.19	0.450	7.63	0.22	1.70	9.02		25.0	40	3.0	200	120	Myers	15:26, sunny and clear																																																																																																																																																					
025	10/04/13	0.5	20.78	0.446	9.23	0.21	1.30	9.45		26.0	40	3.0	200	120	Myers	15:25, partly cloudy/sunny																																																																																																																																																					
026	10/11/13	0.5	17.51	0.435	4.92	0.21	1.80	8.69		22.0	40	3.0	200	120	Myers	15:38, clear skies/sunny																																																																																																																																																					
027	10/18/13	0.5	15.92	0.458	4.53	0.22	1.90	8.64		18.0	40	3.0	200	120	Myers	15:31, mostly cloudy																																																																																																																																																					
028	10/25/13	0.5	12.82	0.490	4.54	0.23	3.00	8.67		8.0	40	3.0	200	120	Myers	15:52, clear skies/sunny																																																																																																																																																					
029	11/01/13	0.5	12.68	0.478	5.37	0.23	1.50	8.79		16.0	40	3.0	200	120	Myers	15:16, partly cloudy																																																																																																																																																					
030	11/08/13	0.5	10.06	0.510	3.89	0.24	3.60	8.76		10.0	45	3.0	200	150	Myers	15:18, clear skies/sunny																																																																																																																																																					
031	11/15/13	0.5	7.82	0.532	4.20	0.25	2.80	8.70		12.0	45	3.0	200	150	Myers	15:29, overcast																																																																																																																																																					
032	11/22/13	0.5	8.23	0.521	4.58	0.25	1.60	8.83		8.0	45	3.0	200	120	Myers	13:06, overcast																																																																																																																																																					
033	11/29/13																																																																																																																																																																				
034	12/06/13	0.5	4.01	0.535	5.26	0.25	2.50	8.93		-3.0	45	3.0	200	120	Myers	12:13, snowing																																																																																																																																																					
035	12/13/13	0.5	3.87	0.548	4.50	0.26	2.40	9.50		2.0	45	3.0	200	120	Myers	14:20, overcast; lake was frozen over																																																																																																																																																					
036	12/20/13	0.5	3.61	0.547	5.23	0.26	2.20	9.13		13.0	45	3.0	200	120	Myers	13:53, overcast; thin layer of ice over lake																																																																																																																																																					
037	12/27/13	0.5	3.59	0.330	8.42	0.15	0.20	9.60		7.0	30	3.0	200	60	Myers	15:05, clear skies/sunny; very thin ice layer present																																																																																																																																																					
038	01/03/14	0.5	4.55	0.390	8.44	0.18	0.50	10.05		-7.0	30	3.0	200	60	Myers	13:51, clear skies/sunny; lake was frozen over																																																																																																																																																					
039	01/10/14	0.5	4.07	0.472	6.40	0.22	1.10	9.31		6.0	40	3.0	200	120	Myers	15:55, overcast; lake was frozen over																																																																																																																																																					
040	01/17/14	0.5	4.32	0.528	4.84	0.25	1.00	9.09		-8.0	40	3.0	200	120	Myers	14:21, overcast; lake was frozen over																																																																																																																																																					
041	01/24/14	0.5	3.78	0.542	4.24	0.25	1.40	9.20		-6.0	40	3.0	200	120	Myers	18:10, cloudy; lake was frozen over																																																																																																																																																					
042	01/31/14	0.5	3.94	0.571	3.59	0.27	1.40	9.15		4.0	40	3.0	200	120	Myers	15:50, cloudy; lake was frozen over																																																																																																																																																					
043	02/07/14	0.5	3.07	0.567	4.10	0.27	1.20	9.20		-9.0	40	3.0	200	120	Myers	14:07, clear skies/sunny; lake was frozen over																																																																																																																																																					
044	02/14/14	0.5	3.53	0.580	4.03	0.27	1.00	9.23		-1.0	40	3.0	200	120	Myers	14:00, overcast/snowing; lake was frozen over																																																																																																																																																					
045	02/21/14	0.5	3.35	0.586	3.99	0.28	0.50	9.20		6.0	30	3.0	200	100	Myers	13:11, clear skies/sunny; lake was frozen over																																																																																																																																																					
