reads.in	reads.out
SRR12672779_1.fastq.gz	157111	128604
SRR12672780_1.fastq.gz	142583	120001
SRR12672781_1.fastq.gz	141666	116818
SRR12672782_1.fastq.gz	173905	138887
SRR12672783_1.fastq.gz	179126	147155
SRR12672784_1.fastq.gz	53400	38535
SRR12672785_1.fastq.gz	113634	83226
SRR12672786_1.fastq.gz	117411	86691
SRR12672787_1.fastq.gz	77119	54311
SRR12672788_1.fastq.gz	74023	55642
SRR12672789_1.fastq.gz	494015	367985
SRR12672790_1.fastq.gz	63098	47855
SRR12672791_1.fastq.gz	64108	48642
SRR12672792_1.fastq.gz	51112	37652
SRR12672793_1.fastq.gz	20060	14558
SRR12672794_1.fastq.gz	79100	60096
SRR12672795_1.fastq.gz	118809	90972
SRR12672796_1.fastq.gz	60527	45209
SRR12672797_1.fastq.gz	80343	59083
SRR12672798_1.fastq.gz	94363	69743
SRR12672799_1.fastq.gz	81582	60934
SRR12672800_1.fastq.gz	69846	52830
SRR12672801_1.fastq.gz	118880	87328
SRR12672802_1.fastq.gz	56226	41965
SRR12672803_1.fastq.gz	74462	55847
SRR12672804_1.fastq.gz	113608	85671
SRR12672805_1.fastq.gz	94556	70938
SRR12672806_1.fastq.gz	73242	56143
SRR12672807_1.fastq.gz	71307	52979
SRR12672808_1.fastq.gz	172460	128966
SRR12672809_1.fastq.gz	50251	37263
SRR12672810_1.fastq.gz	174309	133878
SRR12672811_1.fastq.gz	143080	106648
SRR12672812_1.fastq.gz	104006	78135
SRR12672813_1.fastq.gz	113643	89255
SRR12672814_1.fastq.gz	92032	70913
SRR12672815_1.fastq.gz	175330	136352
SRR12672816_1.fastq.gz	82800	62699
SRR12672817_1.fastq.gz	133055	104472
SRR12672818_1.fastq.gz	117378	90098
SRR12672819_1.fastq.gz	124910	96505
SRR12672820_1.fastq.gz	138538	102443
SRR12672821_1.fastq.gz	145598	110378
SRR12672822_1.fastq.gz	249952	179006
SRR12672823_1.fastq.gz	212298	164064
SRR12672824_1.fastq.gz	98070	73892
SRR12672825_1.fastq.gz	157459	119850
SRR12672826_1.fastq.gz	64193	47113
SRR12672827_1.fastq.gz	116104	86745
SRR12672828_1.fastq.gz	110878	82370
SRR12672829_1.fastq.gz	92802	68972
SRR12672830_1.fastq.gz	219281	164816
SRR12672831_1.fastq.gz	125472	91207
SRR12672832_1.fastq.gz	64909	47888
SRR12672833_1.fastq.gz	349644	260239
SRR12672834_1.fastq.gz	79091	59677
SRR12672835_1.fastq.gz	89659	63780
SRR12672836_1.fastq.gz	53852	38717
SRR12672837_1.fastq.gz	67641	50905
SRR12672838_1.fastq.gz	32825	23686
SRR12672839_1.fastq.gz	110675	75025
SRR12672840_1.fastq.gz	89141	65874
SRR12672841_1.fastq.gz	81772	57323
SRR12672842_1.fastq.gz	68592	49619
SRR12672843_1.fastq.gz	88689	65825
SRR12672844_1.fastq.gz	35880	27389
SRR12672845_1.fastq.gz	107907	83355
SRR12672846_1.fastq.gz	92763	73066
SRR12672847_1.fastq.gz	63847	49211
SRR12672848_1.fastq.gz	61436	48539
SRR12672849_1.fastq.gz	54216	41236
SRR12672850_1.fastq.gz	152294	121661
SRR12672851_1.fastq.gz	161925	128114
SRR12672852_1.fastq.gz	166460	126277
SRR12672853_1.fastq.gz	149350	106870
SRR12672854_1.fastq.gz	211110	162437
SRR12672855_1.fastq.gz	213753	148783
SRR12672856_1.fastq.gz	223548	167286
SRR12672857_1.fastq.gz	266386	200510
SRR12672858_1.fastq.gz	244294	185445
SRR12672859_1.fastq.gz	111750	85092
SRR12672860_1.fastq.gz	60628	47131
SRR12672867_1.fastq.gz	165391	130730
SRR12672878_1.fastq.gz	121738	95457
SRR12672889_1.fastq.gz	38918	30035
SRR12672900_1.fastq.gz	287386	215780
SRR12672911_1.fastq.gz	145941	112240
SRR12672912_1.fastq.gz	195608	141185
SRR12672923_1.fastq.gz	86760	66846
SRR12672934_1.fastq.gz	187719	146432
SRR12672945_1.fastq.gz	161469	126187
SRR12672956_1.fastq.gz	323711	251770
SRR12672967_1.fastq.gz	329134	262039
SRR12672978_1.fastq.gz	271111	212940
SRR12672989_1.fastq.gz	411465	319817
SRR12672997_1.fastq.gz	202508	178000
SRR12672998_1.fastq.gz	155468	133444
SRR12672999_1.fastq.gz	176272	152944
SRR12673000_1.fastq.gz	248585	186465
SRR12673001_1.fastq.gz	172757	154285
SRR12673002_1.fastq.gz	168237	150198
SRR12673003_1.fastq.gz	161063	142149
SRR12673004_1.fastq.gz	162892	136302
SRR12673005_1.fastq.gz	205539	181490
SRR12673006_1.fastq.gz	179336	159409
SRR12673007_1.fastq.gz	161387	137895
SRR12673008_1.fastq.gz	176229	140764
SRR12673009_1.fastq.gz	162588	140656
SRR12673010_1.fastq.gz	165009	142022
SRR12673011_1.fastq.gz	59940	44742
SRR12673012_1.fastq.gz	167627	143737
SRR12673013_1.fastq.gz	168628	142770
SRR12673014_1.fastq.gz	175790	145712
SRR12673015_1.fastq.gz	172482	143591
SRR12673016_1.fastq.gz	187331	142928
SRR12673017_1.fastq.gz	178148	143095
SRR12673018_1.fastq.gz	158764	129140
SRR12673019_1.fastq.gz	221437	182451
SRR12673020_1.fastq.gz	158802	123516
SRR12673021_1.fastq.gz	158637	126173
SRR12673022_1.fastq.gz	120438	88676
SRR12673023_1.fastq.gz	179530	130448
SRR12673024_1.fastq.gz	155457	115201
