input	filtered	denoisedF	denoisedR	merged	nonchim
SRR12673024	157111	128604	127661	127626	114271	103989
SRR12673023	142583	120001	118120	118335	104427	96754
SRR12673022	141666	116818	116269	115878	105848	100850
SRR12673021	173905	138887	138370	137912	125929	122593
SRR12673020	179126	147155	146383	146092	133685	126659
SRR12673019	53400	38535	38329	38105	35361	33197
SRR12673018	113634	83226	82829	82296	76063	69709
SRR12673017	117411	86691	86272	85674	80120	74528
SRR12673016	77119	54311	54003	53511	49465	45475
SRR12673015	74023	55642	55200	54981	51050	47358
SRR12673011	494015	367985	367003	364481	345226	330824
SRR12673014	63098	47855	47332	47034	41845	36981
SRR12673013	64108	48642	47178	47290	39164	35774
SRR12673012	51112	37652	37411	37099	34274	32351
SRR12673010	20060	14558	14485	14262	12975	11976
SRR12673009	79100	60096	59499	59223	53664	46572
SRR12673008	118809	90972	88348	88726	75254	67325
SRR12673007	60527	45209	44640	44312	39993	35443
SRR12673006	80343	59083	58623	58327	54070	47779
SRR12673005	94363	69743	69159	68613	63461	56889
SRR12673000	81582	60934	60533	60174	55969	49979
SRR12673004	69846	52830	52668	52285	49641	48878
SRR12673003	118880	87328	86808	86091	79665	71361
SRR12673002	56226	41965	41670	41508	38272	35025
SRR12673001	74462	55847	55564	55117	51704	46596
SRR12672999	113608	85671	85214	84712	79979	73205
SRR12672998	94556	70938	70632	70128	66345	62131
SRR12672997	73242	56143	56015	55412	53411	52310
SRR12672989	71307	52979	52673	52218	49076	43306
SRR12672978	172460	128966	128114	126986	118590	105946
SRR12672967	50251	37263	37080	36847	34401	31140
SRR12672956	174309	133878	133105	132388	124273	106471
SRR12672945	143080	106648	106336	105563	99858	97425
SRR12672934	104006	78135	77704	77050	71679	62642
SRR12672923	113643	89255	88783	88314	83870	74612
SRR12672912	92032	70913	70423	69916	65381	58157
SRR12672911	175330	136352	135733	134655	127400	114580
SRR12672900	82800	62699	62272	61916	57898	52254
SRR12672889	133055	104472	103711	102531	95579	84777
SRR12672878	117378	90098	89348	88515	82294	73645
SRR12672867	124910	96505	95975	94913	88211	76188
SRR12672860	138538	102443	101928	100848	94448	85880
SRR12672855	145598	110378	109937	109091	102593	91839
SRR12672859	249952	179006	178288	176652	164900	152431
SRR12672858	212298	164064	163505	162741	154560	137688
SRR12672857	98070	73892	73558	73067	68297	60672
SRR12672856	157459	119850	119427	118516	112079	104375
SRR12672854	64193	47113	46723	46530	41893	36527
SRR12672853	116104	86745	86130	85449	79019	71678
SRR12672852	110878	82370	82055	81376	74543	64518
SRR12672851	92802	68972	68507	67920	62051	55443
SRR12672850	219281	164816	163808	162082	150614	139764
SRR12672849	125472	91207	90601	90201	82239	74210
SRR12672848	64909	47888	47403	47307	42502	38315
SRR12672847	349644	260239	259405	257725	242097	225970
SRR12672846	79091	59677	57693	57527	47328	44236
