input	filtered	denoisedF	denoisedR	merged	nonchim
SRR12672996	224569	198261	197288	196877	184697	150027
SRR12672995	113449	97279	96564	96493	89023	75366
SRR12672994	201095	174575	173520	173311	160135	129154
SRR12672993	259000	226188	223947	224514	204979	167879
SRR12672992	206446	182065	180299	180764	165825	135718
SRR12672991	196067	169813	168858	168295	154730	129562
SRR12672990	263496	231359	229872	228935	204975	174096
SRR12672988	175253	160853	160591	160364	149725	138273
SRR12672987	171333	146177	145562	145111	134619	121430
SRR12672986	244220	202912	201057	200940	179209	143649
SRR12672985	148694	118328	117317	117221	103491	82997
SRR12672984	312942	271532	269535	268985	247305	215983
SRR12672983	235365	192541	190967	190512	169247	135556
SRR12672982	232579	191937	190265	190225	172187	144459
SRR12672981	230126	185977	184184	184170	165969	138181
SRR12672980	210798	166572	165116	165015	148361	121941
SRR12672979	256826	201772	200005	200272	177153	144871
SRR12672977	237624	169691	168635	168270	146345	111233
SRR12672976	201879	150842	149775	149184	130947	104359
SRR12672975	173677	127456	126567	126516	110860	86584
SRR12672974	240441	202605	200921	200364	176377	141568
SRR12672973	200244	156517	155294	155315	136447	108560
SRR12672972	190506	143014	141716	141691	123232	97052
SRR12672971	168042	124909	123919	123875	108147	85997
SRR12672970	217446	175049	172518	172807	150549	125160
SRR12672969	165041	136408	135197	135373	122254	100426
SRR12672968	175112	148534	147418	147441	133845	107515
SRR12672966	265544	236446	234949	234118	212276	173298
SRR12672965	68433	58701	58149	58000	52831	42210
SRR12672964	59917	50709	50174	50054	45490	36630
SRR12672963	52785	43602	43213	43043	38737	31251
SRR12672962	63934	54050	53431	53348	48423	39767
SRR12672961	94553	80688	79856	79783	71871	57532
SRR12672960	34999	30939	30662	30529	27232	20964
SRR12672959	31815	27633	26726	26948	22437	18686
SRR12672958	55482	47576	47165	46988	42475	33876
SRR12672957	55667	49476	49195	48516	43454	33557
SRR12672955	78512	69787	69262	69180	63988	52185
SRR12672954	95554	85033	83000	83685	71229	56770
SRR12672953	179677	161612	160693	159932	147313	121929
SRR12672952	48201	43922	43733	43657	40767	33596
SRR12672951	241178	215722	214609	213830	199730	165262
SRR12672950	48051	43064	42711	42697	39660	32652
SRR12672949	218341	193314	192237	191795	178550	151137
SRR12672948	319623	274918	273156	272703	250558	209329
SRR12672947	128711	112957	112559	112277	105891	91599
SRR12672946	104618	94064	93482	93383	88087	76557
SRR12672944	104521	89193	88642	88524	82190	72355
SRR12672943	78368	69208	68882	68623	64599	58188
SRR12672942	871751	746203	742711	740838	691242	620951
SRR12672941	214294	184642	183643	183062	169214	146246
SRR12672940	289837	262327	261793	261061	249343	228426
SRR12672939	382218	341683	340083	339251	319762	274279
SRR12672938	111269	96034	95327	94900	87007	74126
SRR12672937	183472	166264	165602	165285	156746	129493
SRR12672936	43582	38967	38699	38598	36078	29626
SRR12672935	115199	103958	103460	103171	96792	76333
SRR12672933	54937	47524	47149	47018	43332	36337
SRR12672932	17179	15258	15099	14981	13662	11362
SRR12672931	142575	124188	122689	122302	109985	92711
SRR12672930	29995	25656	25399	25222	22690	19003
SRR12672929	49967	42309	41916	41814	37721	31560
SRR12672928	160461	136268	135126	134744	122660	101849
SRR12672927	67730	56582	56151	56091	51002	39739
SRR12672926	170778	143266	141854	141589	128279	104326
SRR12672925	72829	61451	60886	60713	54731	44181
SRR12672924	240417	191244	188871	189113	162138	127277
SRR12672922	35928	30801	30433	30391	27097	22540
SRR12672921	260434	212384	210707	209906	187257	148941
SRR12672920	31086	25746	25459	25354	22279	18232
SRR12672919	72195	62376	61639	61541	55464	47107
SRR12672918	133192	108365	107609	107339	97069	80017
SRR12672917	122212	104156	103252	103282	94091	77878
SRR12672916	255886	208717	203005	203483	165311	139364
