sample_number,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122
days,0,6,13,20,28,35,40,49,56,63,70,77,84,91,98,104,112,119,126,133,140,147,154,161,168,175,182,189,196,203,210,217,231,238,245,252,259,266,273,280,287,294,301,308,315,322,329,336,343,350,356,364,371,379,385,393,399,406,412,420,427,434,442,450,455,463,469,476,483,491,497,505,511,518,525,533,540,546,554,560,567,574,581,589,596,603,610,616,624,630,637,645,651,658,666,673,680,687,692,702,707,715,722,730,737,744,752,758,764,770,778,784,793,801,808,813,820,828,835,850,866,871,878
day_of_year,109,115,122,129,137,144,149,158,165,172,179,186,193,200,207,213,221,228,235,242,249,256,263,270,277,284,291,298,305,312,319,326,340,347,354,361,3,10,17,24,31,38,45,52,59,66,73,80,87,94,100,108,115,123,129,137,143,150,156,164,171,178,186,194,199,207,213,220,227,235,241,249,255,262,269,277,284,290,298,304,311,318,325,333,340,347,354,360,3,9,16,24,30,37,45,52,59,66,71,81,86,94,101,109,116,123,131,137,143,149,157,163,172,180,187,192,199,207,214,229,245,250,257
Otu000001_dna,-4.844134182338453,-3.5385197970709643,-3.615379344614139,-1.5749865543327501,-2.8559229225564557,-2.5076431806750326,-4.910796443384502,-4.402601397234839,-2.4359454325702687,-2.206884152161741,0.6235484304003038,1.269983294505599,-2.4358147994103496,-1.0352353091740227,1.7053172538369183,2.360024463212985,1.115416698957142,2.7926938804768056,0.5686899115106016,1.5481827385534999,-0.3387902907924745,-1.0083567310755628,1.9200056669859344,3.646330586086203,3.2116078458289046,3.8387851937041604,2.6140178979524573,2.0256165785361997,2.1845837341774934,2.035905953873855,2.1444694926287777,2.9719472538264875,1.6715700370788824,1.2995660511477374,2.353905875892362,1.1320184588482827,1.5022219640688408,1.7300107753989795,0.9260098341486261,0.9506178169320656,0.0019099837573162794,-0.13700531796016702,-0.17199922871222378,-1.0119874267825686,-3.0306681932686486,-2.3226368623588747,-2.775201558009049,-2.174888178564353,-2.930546888332007,-3.613440131751907,-4.659292001860093,-4.701606882383207,-3.720218462522,-4.771582139392997,-5.891917268425058,-3.548170170750898,-5.350758744297832,-4.744900675953098,-5.552618917275108,-3.1441599176856623,-3.462729174050302,-2.339912116555149,-1.2738414937860743,-1.0729048501537934,-0.8240965408421258,0.7325609543316459,2.1786408937022834,2.4019928094244962,3.295143354841459,1.0708644272575167,3.182603987244375,5.320716435238685,4.288117127370237,4.466019200645519,4.491644405870295,4.413303563490748,3.984906540719604,3.734649197388411,3.339524073914663,2.602517455876472,2.755046101857953,3.0453629831402766,3.115582674415449,3.430808125094638,2.539827091037681,2.5187776108157274,1.9987243360323483,1.06580477290826,1.094786388330168,-0.7685051144576942,-1.2529673543227815,-2.5950717949479127,-3.759637857680219,-3.8676351965486533,-3.158685078290718,-3.238550159278862,-2.9146237585137773,-2.675274230201334,-3.656649156264479,-3.9909099134928057,-4.066624411584611,-3.891835555841018,-4.00566430024203,-6.08045018763181,-3.947454276282318,-4.03600011942397,-4.6407568584848695,-4.118468666080335,-5.192703048603245,-4.4220935260974485,-3.8846747327868596,-4.112805301826248,-3.967848785264289,0.12152786520648845,2.5528708690125805,3.2875620069653886,1.3328739382434756,2.27532279078892,1.944996864085244,2.714641641697007,2.1259670564351105,2.662542419881643,3.5986559663370277
Otu000001_rna,-1.5831109911101653,-0.18820209868278526,-0.18531942491326958,0.42939651063062567,-2.916425897974036,-2.045411413541724,-2.3598493288657862,-2.061672229410262,-2.276891686915508,1.106035699445795,4.143116817988352,4.396363305433446,2.405575628286685,3.4682549445412945,6.804348701284211,5.863692055140098,5.187657358644466,6.789320164899536,5.09994001605359,4.71117333929805,3.988939071237308,2.8443432075928037,4.621538850239886,6.198588905697322,5.962996329943804,6.462418057404424,5.510593701163339,5.3643621557307695,5.359656195021487,5.4184806063447954,5.900471085908104,5.6750783135163445,5.544777641225366,5.379566041781953,5.916836828304714,4.638191568136161,4.708492989064571,4.383818295313571,3.4967317453974336,3.244941992993473,2.463351363233136,1.4618695173021128,2.448763374907654,0.9798994737635767,-0.5150179806638593,0.31007110266546994,-1.1430583163015107,-0.48096210562572034,-0.4144560224025042,-1.331292096326903,-1.7808640859741862,-2.292493716035441,-0.9650683722840891,-1.9289151007726029,-2.5528321867136072,-1.676552971554813,-2.3656334654350015,-2.987742042080947,-2.158685195285249,-0.4592596215656355,-0.7207391665578914,0.7868458994447594,2.017068544050904,1.8924846847065355,2.6730168162038734,3.6920835410368116,4.960917617964347,4.766442327969251,5.291118065445863,3.6511697751989867,5.68498679632447,6.921797954433871,5.289487511388393,5.613253200317695,5.604904647218859,5.1181760010392345,6.026320526885136,5.564180184828667,4.837905888551446,5.419563649059053,4.866708233321524,5.643341502186587,5.700051748797012,5.628867374552825,4.689002017181823,4.73264815848812,4.345231654249027,3.548985252562679,3.29601131650697,2.051349019615185,0.6107403667330755,0.5196220330235644,-0.2114565532962945,-0.923878257205705,-0.5578632749132804,-1.312628575910919,-1.4284173667439017,-0.9253295011233501,-1.7743976249070452,-3.16871983717541,-3.2647430930957997,-3.1860527306519715,-3.7076409074660313,-3.7473641313501265,-3.1127093242524295,-2.8008701139186307,-3.0098348189557074,-3.0014137137622683,-1.8035278770126493,-1.9601192949320774,-0.6055671644520678,-1.006212809067368,-1.2144187464740333,2.9404368131267553,4.073501420063384,7.002990630752632,5.582286852036456,4.744571834917674,3.3831196846036624,4.679641242700423,4.3248804013476665,4.6514641912525825,4.541634533343499
Otu000001_rna_dna,3.261023191228288,3.350317698388179,3.430059919700869,2.004383064963376,-0.060502975417580096,0.4622317671333085,2.5509471145187157,2.3409291678245765,0.15905374565476071,3.312919851607536,3.519568387588048,3.1263800109278463,4.841390427697035,4.503490253715317,5.099031447447293,3.503667591927113,4.072240659687324,3.9966262844227303,4.5312501045429885,3.16299060074455,4.327729362029783,3.8526999386683665,2.701533183253951,2.5522583196111186,2.7513884841148997,2.6236328637002635,2.8965758032108817,3.3387455771945698,3.1750724608439937,3.3825746524709404,3.7560015932793265,2.703131059689857,3.873207604146484,4.0799999906342155,3.562930952412352,3.5061731092878787,3.2062710249957305,2.653807519914591,2.5707219112488073,2.2943241760614077,2.4614413794758194,1.5988748352622797,2.6207626036198777,1.9918869005461453,2.5156502126047893,2.632707965024345,1.6321432417075386,1.6939260729386325,2.516090865929503,2.2821480354250037,2.878427915885907,2.4091131663477663,2.755150090237911,2.8426670386203945,3.3390850817114504,1.871617199196085,2.9851252788628306,1.7571586338721512,3.393933721989859,2.684900296120027,2.7419900074924106,3.1267580159999087,3.290910037836978,2.965389534860329,3.497113357045999,2.9595225867051655,2.782276724262063,2.364449518544755,1.9959747106044041,2.58030534794147,2.502382809080095,1.6010815191951862,1.0013703840181565,1.147233999672176,1.1132602413485646,0.7048724375484863,2.041413986165532,1.8295309874402563,1.4983818146367827,2.817046193182581,2.111662131463571,2.5979785190463103,2.584469074381563,2.1980592494581868,2.1491749261441426,2.2138705476723923,2.3465073182166782,2.483180479654419,2.201224928176802,2.8198541340728793,1.863707721055857,3.114693827971477,3.5481813043839243,2.9437569393429484,2.6008218033774377,1.925921583367943,1.4862063917698756,1.749944729077984,1.8822515313574337,0.8221900763173955,0.8018813184888112,0.7057828251890466,0.29802339277599854,2.333086056281684,0.8347449520298884,1.2351300055053391,1.6309220395291621,1.1170549523180666,3.389175171590596,2.461974231165371,3.279107568334792,3.10659249275888,2.753430038790256,2.8189089479202667,1.5206305510508038,3.7154286237872434,4.24941291379298,2.469249044128754,1.4381228205184184,1.9649996010034156,2.198913344912556,1.9889217713709395,0.9429785670064716
Otu000002_dna,3.555963237201537,3.110464752953812,3.195529792969671,3.627166335018567,2.9309744588102515,2.6670931241016493,2.8170532809050877,2.7158777702017263,2.253006282378201,2.565316604608768,2.4310482601469214,2.0485551797667263,1.6510723061000119,2.0913318388936095,2.04242771246842,2.6023664611697215,2.1565615789430583,1.93159037609913,2.192774139461941,2.4601875695017337,1.8369771748115218,2.4486491225144738,2.773010303177006,2.6409925834454295,2.484585961993786,2.2439363255929545,2.472060454209612,2.3366415839223365,2.5448386686591538,3.254806884151172,2.5438704660496305,3.4389339394982055,2.0472757055352124,2.166952976031723,2.147267902018383,3.501493757655378,3.2223972154518474,2.849770207154478,3.0461525171248103,3.405671503570385,3.474929239948151,3.831158369196753,4.216678172830652,3.6467235261335524,4.438674953793988,3.992419707360123,3.5271121208322485,3.6864159113035577,3.355164673223608,3.1063778516506395,3.180233579844585,2.623146740520767,4.226399100722473,2.7443069458221285,2.875567606224401,2.9311072258140016,3.1155621167446483,2.4340261233538296,2.507921129263531,2.4731305256170955,2.2356541359281286,2.1014013470935073,1.8908067303996412,2.3109385168152103,2.341414569975896,2.01895716218555,1.8098746203983374,1.602800416158407,1.7856989365002436,2.1364325766320618,1.6325130321750032,4.21815671776864,2.552689426024002,2.334678659960528,2.363843951375371,3.0188256477102615,2.743159155090386,2.659531737068053,3.75356726167661,2.6145446998906525,2.4888857671359,2.574776093452226,2.4270862324028335,2.857370367548424,2.6821257802779246,3.008969817663484,3.2294332968493205,3.1097124901937057,2.884153511919603,2.9098763905331255,2.5312222795954797,3.2431885939368414,3.0097744716801733,3.3190136488521857,3.296198970185984,3.7859370981419858,3.8399189969260714,3.6773551661182324,3.4459873643138965,3.235379901423877,3.5360889073614343,3.339648771472076,3.397777583663294,3.1687262081295704,3.4974852562434897,4.249513189655772,3.304515143138791,2.9876902777809766,2.6730605556049154,2.191793921345821,1.9993437921722748,1.9844259284423706,3.1539909532709536,2.7188680786543755,2.2176244565710173,2.048098285820693,2.216495404488214,1.8398772857737,1.2459203617070211,2.0259727489617574,2.889336364936737,2.7780689671792937,2.3004523328718096
Otu000002_rna,4.154582697010791,3.7423256753259406,3.682484349046125,4.517599804830644,4.080916142549887,3.4745483781942545,3.324730338566203,3.2526360020119274,2.6553077948935138,2.791791053312809,3.0518761156121106,2.700893863885087,1.8365181153461536,2.5824871580615847,2.491542254626642,3.2180476562302545,2.537923366825515,2.0479379797780215,2.8673113231395564,2.9697092803697385,2.6562635209949947,3.0845440805148727,3.182738135373853,2.9723110023357355,2.8443313704267257,3.0901969524320925,2.943657707686302,3.000865054696003,3.8413658889159654,3.965596529457958,3.076539986715708,4.116787085296652,2.5325747952330198,2.7148100243453865,2.5402581983243495,4.18630264911683,3.9147681048968814,3.385901975210083,4.03381510225216,4.141182990581262,3.6752150305714353,4.559887965313029,4.63819344458378,4.646899518696255,5.047453005634688,4.466509794683366,3.93731031580942,4.017191347598164,3.854572307165433,3.9471438996673043,3.940030398785776,3.5799057239136007,4.441355735589799,3.5141683887351682,3.5213779646561862,3.558114367916767,3.9433980561026285,3.1117357490876136,3.044206042707681,3.2055691841844642,3.060402845953895,2.745063896174669,2.272381378298505,3.2513997107114267,2.751745981064087,3.0042768271081832,2.7384816212816316,2.0896854234887643,2.4156529823601742,2.6519310259099464,2.2343776142609193,2.4753383785201035,3.50920290070757,4.2525595330150585,2.9351197434556937,4.039311861143504,3.1661334171012876,3.2516654529198754,4.190843445754873,3.203733695621403,2.9008425753678804,3.070882253914852,3.295040956102749,3.3724082127160337,3.6243081919354485,3.5417980061590337,3.6826083301583474,3.6944605359706664,3.467808247210446,3.6275121431644135,3.860075399085985,3.5616350591415613,3.80397211713712,3.7476380257962294,3.721287317430437,3.8223015961675215,4.143805795432853,4.213053827508361,4.234918002974592,4.189876370538404,4.116612281264125,4.026077843723607,4.125364844761734,4.13931859335414,4.561124075727528,4.911515384673377,4.20307797580277,3.574942922612531,3.121912571020374,2.9814615494266454,3.0079022838542833,2.3354297806051427,3.9321176792157053,3.5342860846440503,2.885078240356682,2.777507283906537,2.757106771469359,2.1960082081170826,1.7568283781043996,3.009174427227755,3.502343342209462,3.4985550865479498,2.940388165758765
Otu000002_rna_dna,0.598619459809254,0.6318609223721285,0.4869545560764541,0.8904334698120766,1.1499416837396352,0.8074552540926052,0.5076770576611151,0.5367582318102011,0.4023015125153129,0.2264744487040411,0.6208278554651891,0.6523386841183605,0.18544580924614174,0.49115531916797517,0.4491145421582221,0.615681195060533,0.38136178788245667,0.11634760367889152,0.6745371836776153,0.5095217108680048,0.819286346183473,0.635894958000399,0.40972783219684716,0.331318418890306,0.3597454084329397,0.8462606268391379,0.4715972534766899,0.6642234707736665,1.2965272202568117,0.7107896453067859,0.5326695206660776,0.6778531457984465,0.48529908969780733,0.5478570483136633,0.3929902963059666,0.6848088914614521,0.692370889445034,0.536131768055605,0.98766258512735,0.7355114870108772,0.20028579062328422,0.7287295961162763,0.42151527175312786,1.0001759925627027,0.6087780518407007,0.47409008732324276,0.4101981949771716,0.33077543629460626,0.4994076339418254,0.8407660480166648,0.759796818941191,0.9567589833928336,0.21495663486732575,0.7698614429130397,0.6458103584317851,0.6270071421027654,0.8278359393579802,0.677709625733784,0.5362849134441499,0.7324386585673688,0.8247487100257662,0.6436625490811618,0.381574647898864,0.9404611938962164,0.4103314110881908,0.985319664922633,0.9286070008832943,0.4868850073303572,0.6299540458599306,0.5154984492778847,0.6018645820859161,-1.7428183392485361,0.9565134746835682,1.9178808730545307,0.5712757920803226,1.0204862134332422,0.4229742620109014,0.5921337158518223,0.4372761840782631,0.5891889957307503,0.41195680823198044,0.496106160462626,0.8679547236999157,0.5150378451676096,0.9421824116575239,0.5328281884955497,0.453175033309027,0.5847480457769607,0.583654735290843,0.717635752631288,1.328853119490505,0.31844646520471986,0.7941976454569466,0.42862437694404365,0.4250883472444529,0.03636449802553576,0.3038867985067819,0.5356986613901284,0.7889306386606951,0.9544964691145275,0.5805233739026905,0.6864290722515314,0.7275872610984395,0.9705923852245699,1.063638819484038,0.6620021950176049,0.8985628326639787,0.5872526448315543,0.4488520154154587,0.7896676280808244,1.0085584916820085,0.3510038521627721,0.7781267259447517,0.8154180059896747,0.6674537837856649,0.729408998085844,0.5406113669811448,0.3561309223433826,0.5109080163973785,0.9832016782659978,0.6130069772727249,0.720486119368656,0.6399358328869553
Otu000003_dna,2.837656780936968,2.8764680454002116,2.4863034653864537,1.7650125391252094,2.860282072098302,2.7834481407812643,2.276320676433697,1.9835561609993964,1.41420216913979,1.2828518239789855,1.2228684660233562,2.1536427324093466,2.749279900306912,3.390271107616841,3.397657164947314,3.3826969772040294,2.817583157596497,3.3294093721360274,3.5755620910553367,2.780798006744756,3.2552869845440635,2.9057832373024874,3.208019339009207,3.187198285651361,2.3507221098047917,2.7127645822140054,2.3319498165324952,2.5691948607657977,2.3285807777018013,2.4523033617321737,2.7629598837225045,1.8303672337403794,3.385187212210606,3.0673665401265455,2.980331739891523,1.4085079908677849,1.9409442939334878,2.7603530551472555,2.5438713824333985,2.76642654139279,2.7025252063720084,1.8209049750982569,2.1711070616874615,1.803920170176055,2.3621325651077187,2.480017128162849,2.0477645729666567,1.802241368465373,2.438658987742778,1.5923963820019642,1.5935748086791888,1.9792477964070074,1.7083959049738948,2.8126826789960617,2.713469933727095,2.4319806164568103,2.0888005648354873,2.5361408127729677,3.449835905775845,3.1332217524095642,2.676160188178408,2.4054151906316594,2.7055510731468773,3.119840581604161,3.5427513751587125,3.1293581303871707,3.0227215068842863,2.9407611298937857,3.004658589972104,3.5063090454326487,3.976458708801361,3.0256470352418763,3.056552764429232,2.7964343146378523,3.586948467172253,2.8858632451437636,2.5996135705039785,1.7397235903820196,1.6710548687132,1.9098296582202492,1.904750615391323,1.9616536686947827,1.6406313201434357,1.7582531558703443,1.6048928536405023,1.834632741614747,1.751089764709843,2.0847496588424983,2.1898080088675496,2.4037301329573957,2.782010475164142,2.614911005532224,2.7173345052094637,2.085608137739131,2.2091583509059287,1.827491172391692,2.195142159384189,2.7482062793007085,2.0674804597225918,2.2965355088816524,1.9163668383187487,1.9590599050570239,1.009958535365265,2.617229544632652,2.5766418614560096,0.7546117506943204,1.9160214976731729,3.4329570300005945,3.455342951231754,3.507167989903153,3.386681450204743,3.407971113236549,1.7530589389173752,3.1868095707181774,1.2251346609287759,2.8038747987289767,2.5366001030318435,2.6869098237926714,3.4036436131763623,3.6376125845041054,3.450565452418933,3.4676119361346363,3.2319922524998383
Otu000003_rna,1.1935455333489415,1.533730354702987,1.0990538048507044,0.20113785864964548,1.6386199008314872,1.6308892583653516,1.1569500625063927,0.6844499196413562,-0.16891383797073814,-0.4765749707551614,-0.27688331364150115,0.50026836763975,1.2215776921886394,1.922030079542737,2.0006241461166936,1.8968757578703677,1.6658593020211674,1.9873133579615867,1.7037505490381808,1.3440277068215836,1.5857772571933744,1.5786199611454343,1.880996637405385,1.362873089901635,0.8408177498891538,1.0916223751695453,1.023958035048255,1.018493650423643,0.2185948149747204,1.06882940092671,1.3843652229170897,0.7600216461057664,1.728021338285827,1.5891690632893578,1.402243361790211,-0.467657701040693,0.4218196385722702,1.3434773911704523,0.8113582529662534,0.8128866436608165,1.168818981861473,0.4936190464972468,0.5329256556988317,0.6567706523160481,0.7835708000369258,1.3982120914662841,1.0461980913855315,0.6927708135104973,1.3237192006914444,-0.1790270941664734,0.03287428997264404,0.492517526202897,0.7517280584705106,1.2032290282712648,0.88354165374927,0.9684390935802599,0.3424167356672089,1.934517308063882,1.6917707153527952,1.5014540701294266,0.9304909808579963,0.8897265626228029,1.1338777606030936,1.4510289352594827,1.9626575067628067,1.4219859407621733,1.4230884750871404,1.374473752744717,1.247262817868494,1.9696477289586654,2.5248907270799346,1.6483087433695935,1.2219895877613784,1.1852898461989485,2.055569367782145,0.8464589171665933,1.294331240199696,0.4072435852155665,0.07698315912193494,0.9664987810451054,0.758714555471051,0.913188515335268,0.3261359247819026,0.4953699856893339,-0.18924408886868693,0.16516456889476824,1.029808908706312,1.190608799940217,0.7451466989271719,0.9343875922788792,0.8683351468015313,1.611192039066261,1.0596249957227581,1.0804426540060228,1.3127901367844375,1.4191808421541916,1.3710788084158037,1.5325484762767312,1.4889299625319896,0.7945964626402867,1.2165963951720642,0.37877407479198577,-0.176390397555678,0.706983164903381,0.648490791441133,-0.9059264084553448,0.601083093688517,2.2391886452845693,1.9218111288132402,2.053775388611017,1.7747617846284036,2.2029609299943824,-0.3340600238259415,1.6827794065412849,0.9997860049724385,1.0782424130826431,-0.05899263521460607,1.37329317559507,2.258355540960715,2.10037877048747,2.1599563613696287,2.3601248915168123,2.0248223342425584
