"predictor","dtype","n_triplets","grand_mean","grand_se","grand_sd","ci_lower","ci_upper","I2","mean_prop_sig","dtype_label"
"day_of_year","dna",21,0.0083710600877056,0.00141011886472133,0.00646197643647068,0.00560722711285179,0.0111348930625594,99.1412094360163,0.00238095238095238,"DNA"
"day_of_year","rna",21,0.0124343587421575,0.00205333192247316,0.00940954896160247,0.00840982817411006,0.0164588893102049,98.5081787844479,0.020952380952381,"RNA"
"day_of_year","rna_dna",21,0.0255684658420239,0.0039113723507692,0.0179241598685572,0.0179021760345163,0.0332347556495316,98.4950719797328,0.0628571428571429,"RNA:DNA"
"days","dna",21,0.00454455725511073,0.00158894964206168,0.00728148201022061,0.00143021595666985,0.00765889855355161,99.3030996812187,0.00380952380952381,"DNA"
"days","rna",21,0.00163387487196517,0.00062239045575624,0.00285215137532103,0.000413989578682939,0.0028537601652474,99.1976470552838,0.00142857142857143,"RNA"
"days","rna_dna",21,0.00580528753009775,0.00227524585945901,0.0104264863756058,0.00134580564555808,0.0102647694146374,99.4224745177797,0.147619047619048,"RNA:DNA"
"dissolved_oxygen","dna",21,0.0775065089193402,0.0200311067981853,0.0917940631564285,0.0382455395948971,0.116767478243783,99.4735676468634,0.0590476190476191,"DNA"
"dissolved_oxygen","rna",21,0.0494774370256262,0.00592460503864145,0.0271499510522912,0.037865211149889,0.0610896629013635,99.6047328466033,0.0952380952380952,"RNA"
"dissolved_oxygen","rna_dna",21,0.111950932343701,0.0197783463965527,0.0906357694832597,0.0731853734064579,0.150716491280944,99.2848585594268,0.20047619047619,"RNA:DNA"
"doc","dna",21,0.132762948897293,0.0242876281764034,0.111299894569311,0.0851591976715421,0.180366700123044,99.8233977134497,0,"DNA"
"doc","rna",21,0.191916375243123,0.0522153124513936,0.239280621744281,0.0895743628383912,0.294258387647854,98.9153310469618,0.0157142857142857,"RNA"
"doc","rna_dna",21,0.267515527055863,0.0377481119181124,0.172983580206415,0.193529227696363,0.341501826415363,98.6172233713346,0,"RNA:DNA"
"ph","dna",21,0.222898063615966,0.0503668470350324,0.230809889054298,0.124179043427303,0.32161708380463,99.6841769393461,0,"DNA"
"ph","rna",21,0.243253000887444,0.0515125261274514,0.236060050217436,0.142288449677639,0.344217552097249,99.9205737720844,0.142857142857143,"RNA"
"ph","rna_dna",21,0.442965984341555,0.0932587298864522,0.427365188920108,0.260178873764109,0.625753094919001,99.6945929999166,0.254285714285714,"RNA:DNA"
"salinity","dna",21,16.4382528984726,2.91705204419062,13.3676117986292,10.720830891859,22.1556749050862,99.9654406608234,0.19047619047619,"DNA"
"salinity","rna",21,8.65827079059702,1.76276982450995,8.07802615360088,5.20324193455751,12.1132996466365,99.9551967622681,0.0476190476190476,"RNA"
"salinity","rna_dna",21,23.8411044836383,4.66526253080773,21.3789186842677,14.6971899232551,32.9850190440214,99.6794777714852,0.198095238095238,"RNA:DNA"
"secchi_depth","dna",21,0.147226814836266,0.0262375949586382,0.120235764951551,0.0958011287173349,0.198652500955197,99.4153421353635,0,"DNA"
"secchi_depth","rna",21,0.244165461232255,0.0286809738719655,0.131432733773333,0.187950752443203,0.300380170021308,99.7271616170136,0,"RNA"
"secchi_depth","rna_dna",21,0.344297734619309,0.042406163032817,0.194329452030522,0.261181655074988,0.427413814163631,98.5791336107991,0.0990476190476191,"RNA:DNA"
"specific_conductivity","dna",21,8.08717996745948,1.20621011666938,5.52754916365893,5.72300813878751,10.4513517961315,99.8627521678219,0.0952380952380952,"DNA"
"specific_conductivity","rna",21,4.35751230737792,0.938346947459522,4.30004591486401,2.51835229035725,6.19667232439858,99.9621934827845,0.0476190476190476,"RNA"
"specific_conductivity","rna_dna",21,10.6060382292285,2.34319235456362,10.7378563326296,6.01338121428381,15.1986952441732,99.514674846455,0.0823809523809524,"RNA:DNA"
"total_nitrogen","dna",21,0.723011718954452,0.128482948699411,0.58878283792618,0.471185139503605,0.974838298405298,99.6128675554796,0.142857142857143,"DNA"
"total_nitrogen","rna",21,0.397518923812306,0.0574359120402075,0.263204414533076,0.284944536213499,0.510093311411112,98.9808884639043,0,"RNA"
"total_nitrogen","rna_dna",21,1.11904804716458,0.190366300488689,0.872367981758126,0.745930098206751,1.49216599612241,98.9953006972383,0.0566666666666667,"RNA:DNA"
"total_phosphorus","dna",21,0.0117037059152,0.00275064681971232,0.0126050472614213,0.00631243814856382,0.0170949736818361,98.8270808875138,0.0133333333333333,"DNA"
"total_phosphorus","rna",21,0.00392549952046841,0.000469960821314804,0.0021536310373387,0.0030043763106914,0.00484662273024543,99.6969737552565,0,"RNA"
"total_phosphorus","rna_dna",21,0.00890088543111371,0.00178332444868597,0.00817221927476887,0.0054055695116892,0.0123962013505382,99.2685358777433,0.00428571428571429,"RNA:DNA"
"water_temp","dna",21,0.0569407864949921,0.00730827942864566,0.0334907436816574,0.0426165588148466,0.0712650141751376,99.4085537848356,0.0476190476190476,"DNA"
"water_temp","rna",21,0.0441582551034894,0.00646748780874605,0.0296377524397828,0.0314819789983471,0.0568345312086316,99.4877546205043,0.0547619047619048,"RNA"
"water_temp","rna_dna",21,0.0917165948462735,0.0161156851571379,0.0738513471086606,0.0601298519382832,0.123303337754264,99.0046834744004,0.0314285714285714,"RNA:DNA"
