"predictor","pair_label","n_triplets","pct_any_sig","mean_prop_sig","mean_net_dir"
"day_of_year","DNA vs RNA",21,95.2380952380952,0.142698412698413,-0.00818033746640598
"day_of_year","DNA vs RNA:DNA",21,95.2380952380952,0.142698412698413,-0.00818033746640598
"day_of_year","RNA vs RNA:DNA",21,95.2380952380952,0.142698412698413,-0.00818033746640598
"days","DNA vs RNA",21,80.9523809523809,0.156984126984127,-0.00501907201748749
"days","DNA vs RNA:DNA",21,80.9523809523809,0.156984126984127,-0.00501907201748749
"days","RNA vs RNA:DNA",21,80.9523809523809,0.156984126984127,-0.00501907201748749
"dissolved_oxygen","DNA vs RNA",21,61.9047619047619,0.218888888888889,-0.0442974766701266
"dissolved_oxygen","DNA vs RNA:DNA",21,61.9047619047619,0.218888888888889,-0.0442974766701266
"dissolved_oxygen","RNA vs RNA:DNA",21,61.9047619047619,0.218888888888889,-0.0442974766701266
"doc","DNA vs RNA",21,14.2857142857143,0.0166666666666667,0.00597363010690809
"doc","DNA vs RNA:DNA",21,14.2857142857143,0.0166666666666667,0.00597363010690809
"doc","RNA vs RNA:DNA",21,14.2857142857143,0.0166666666666667,0.00597363010690809
"ph","DNA vs RNA",21,38.0952380952381,0.13968253968254,-0.00138307090674901
"ph","DNA vs RNA:DNA",21,38.0952380952381,0.13968253968254,-0.00138307090674901
"ph","RNA vs RNA:DNA",21,38.0952380952381,0.13968253968254,-0.00138307090674901
"salinity","DNA vs RNA",21,38.0952380952381,0.156190476190476,0.0336916713907811
"salinity","DNA vs RNA:DNA",21,38.0952380952381,0.156190476190476,0.0336916713907811
"salinity","RNA vs RNA:DNA",21,38.0952380952381,0.156190476190476,0.0336916713907811
"secchi_depth","DNA vs RNA",21,33.3333333333333,0.089047619047619,-0.0125688131045437
"secchi_depth","DNA vs RNA:DNA",21,33.3333333333333,0.089047619047619,-0.0125688131045437
"secchi_depth","RNA vs RNA:DNA",21,33.3333333333333,0.089047619047619,-0.0125688131045437
"specific_conductivity","DNA vs RNA",21,33.3333333333333,0.125396825396825,-0.0180305781889379
"specific_conductivity","DNA vs RNA:DNA",21,33.3333333333333,0.125396825396825,-0.0180305781889379
"specific_conductivity","RNA vs RNA:DNA",21,33.3333333333333,0.125396825396825,-0.0180305781889379
"total_nitrogen","DNA vs RNA",21,57.1428571428571,0.11015873015873,0.0126062206393372
"total_nitrogen","DNA vs RNA:DNA",21,57.1428571428571,0.11015873015873,0.0126062206393372
"total_nitrogen","RNA vs RNA:DNA",21,57.1428571428571,0.11015873015873,0.0126062206393372
"total_phosphorus","DNA vs RNA",21,33.3333333333333,0.0533333333333333,0.00377975400914695
"total_phosphorus","DNA vs RNA:DNA",21,33.3333333333333,0.0533333333333333,0.00377975400914695
"total_phosphorus","RNA vs RNA:DNA",21,33.3333333333333,0.0533333333333333,0.00377975400914695
"water_temp","DNA vs RNA",21,47.6190476190476,0.093015873015873,-0.00581422816574397
"water_temp","DNA vs RNA:DNA",21,47.6190476190476,0.093015873015873,-0.00581422816574397
"water_temp","RNA vs RNA:DNA",21,47.6190476190476,0.093015873015873,-0.00581422816574397
