"asv_id","dev_expl_pct","AIC","n_k_fail","k_fail_terms","max_concurvity","concurvity_flag","conc_high_terms","n_near_zero_edf","near_zero_terms","any_flag"
"ASV_001",87.4,1267.4,NA,"",1,TRUE,"s(water_temp):dtypedna; s(water_temp):dtyperna; s(water_temp):dtyperna_dna; s(specific_conductivity):dtypedna; s(specific_conductivity):dtyperna; s(specific_conductivity):dtyperna_dna; s(salinity):dtypedna; s(salinity):dtyperna; s(salinity):dtyperna_dna; s(total_nitrogen):dtypedna; s(total_nitrogen):dtyperna; s(total_nitrogen):dtyperna_dna; s(doc):dtypedna; s(doc):dtyperna; s(doc):dtyperna_dna; s(secchi_depth):dtypedna; s(secchi_depth):dtyperna; s(secchi_depth):dtyperna_dna; s(ph):dtypedna; s(ph):dtyperna; s(ph):dtyperna_dna; s(dissolved_oxygen):dtypedna; s(dissolved_oxygen):dtyperna; s(dissolved_oxygen):dtyperna_dna; s(day_of_year):dtypedna; s(day_of_year):dtyperna; s(day_of_year):dtyperna_dna; s(days):dtypedna; s(days):dtyperna; s(days):dtyperna_dna",18,"s(water_temp):dtyperna; s(water_temp):dtyperna_dna; s(specific_conductivity):dtypedna; s(specific_conductivity):dtyperna; s(specific_conductivity):dtyperna_dna; s(salinity):dtyperna; s(total_nitrogen):dtypedna; s(total_nitrogen):dtyperna; s(total_phosphorus):dtypedna; s(total_phosphorus):dtyperna; s(total_phosphorus):dtyperna_dna; s(secchi_depth):dtypedna; s(secchi_depth):dtyperna; s(ph):dtypedna; s(ph):dtyperna; s(ph):dtyperna_dna; s(day_of_year):dtypedna; s(days):dtyperna",TRUE
"ASV_002",92.1,597.2,NA,"",1,TRUE,"s(water_temp):dtypedna; s(water_temp):dtyperna; s(water_temp):dtyperna_dna; s(specific_conductivity):dtypedna; s(specific_conductivity):dtyperna; s(specific_conductivity):dtyperna_dna; s(salinity):dtypedna; s(salinity):dtyperna; s(salinity):dtyperna_dna; s(total_nitrogen):dtypedna; s(total_nitrogen):dtyperna; s(total_nitrogen):dtyperna_dna; s(doc):dtypedna; s(doc):dtyperna; s(doc):dtyperna_dna; s(secchi_depth):dtypedna; s(secchi_depth):dtyperna; s(secchi_depth):dtyperna_dna; s(ph):dtypedna; s(ph):dtyperna; s(ph):dtyperna_dna; s(dissolved_oxygen):dtypedna; s(dissolved_oxygen):dtyperna; s(dissolved_oxygen):dtyperna_dna; s(day_of_year):dtypedna; s(day_of_year):dtyperna; s(day_of_year):dtyperna_dna; s(days):dtypedna; s(days):dtyperna; s(days):dtyperna_dna",23,"s(water_temp):dtypedna; s(water_temp):dtyperna_dna; s(specific_conductivity):dtypedna; s(specific_conductivity):dtyperna; s(salinity):dtypedna; s(salinity):dtyperna; s(salinity):dtyperna_dna; s(total_nitrogen):dtypedna; s(total_nitrogen):dtyperna; s(total_nitrogen):dtyperna_dna; s(total_phosphorus):dtyperna; s(doc):dtyperna; s(secchi_depth):dtypedna; s(ph):dtypedna; s(ph):dtyperna; s(dissolved_oxygen):dtypedna; s(dissolved_oxygen):dtyperna; s(dissolved_oxygen):dtyperna_dna; s(day_of_year):dtypedna; s(day_of_year):dtyperna; s(days):dtypedna; s(days):dtyperna; s(days):dtyperna_dna",TRUE
"ASV_003",90.9,505.6,NA,"",1,TRUE,"s(water_temp):dtypedna; s(water_temp):dtyperna; s(water_temp):dtyperna_dna; s(specific_conductivity):dtypedna; s(specific_conductivity):dtyperna; s(specific_conductivity):dtyperna_dna; s(salinity):dtypedna; s(salinity):dtyperna; s(salinity):dtyperna_dna; s(total_nitrogen):dtypedna; s(total_nitrogen):dtyperna; s(total_nitrogen):dtyperna_dna; s(doc):dtypedna; s(doc):dtyperna; s(doc):dtyperna_dna; s(secchi_depth):dtypedna; s(secchi_depth):dtyperna; s(secchi_depth):dtyperna_dna; s(ph):dtypedna; s(ph):dtyperna; s(ph):dtyperna_dna; s(dissolved_oxygen):dtypedna; s(dissolved_oxygen):dtyperna; s(dissolved_oxygen):dtyperna_dna; s(day_of_year):dtypedna; s(day_of_year):dtyperna; s(day_of_year):dtyperna_dna; s(days):dtypedna; s(days):dtyperna; s(days):dtyperna_dna",24,"s(water_temp):dtypedna; s(water_temp):dtyperna; s(water_temp):dtyperna_dna; s(specific_conductivity):dtypedna; s(salinity):dtypedna; s(salinity):dtyperna; s(salinity):dtyperna_dna; s(total_nitrogen):dtypedna; s(total_nitrogen):dtyperna; s(total_nitrogen):dtyperna_dna; s(total_phosphorus):dtyperna; s(total_phosphorus):dtyperna_dna; s(doc):dtypedna; s(doc):dtyperna; s(doc):dtyperna_dna; s(secchi_depth):dtyperna; s(ph):dtypedna; s(ph):dtyperna; s(ph):dtyperna_dna; s(dissolved_oxygen):dtypedna; s(dissolved_oxygen):dtyperna; s(dissolved_oxygen):dtyperna_dna; s(day_of_year):dtyperna; s(days):dtyperna",TRUE
"ASV_004",71.9,539.3,NA,"",1,TRUE,"s(water_temp):dtypedna; s(water_temp):dtyperna; s(water_temp):dtyperna_dna; s(specific_conductivity):dtypedna; s(specific_conductivity):dtyperna; s(specific_conductivity):dtyperna_dna; s(salinity):dtypedna; s(salinity):dtyperna; s(salinity):dtyperna_dna; s(total_nitrogen):dtypedna; s(total_nitrogen):dtyperna; s(total_nitrogen):dtyperna_dna; s(doc):dtypedna; s(doc):dtyperna; s(doc):dtyperna_dna; s(secchi_depth):dtypedna; s(secchi_depth):dtyperna; s(secchi_depth):dtyperna_dna; s(ph):dtypedna; s(ph):dtyperna; s(ph):dtyperna_dna; s(dissolved_oxygen):dtypedna; s(dissolved_oxygen):dtyperna; s(dissolved_oxygen):dtyperna_dna; s(day_of_year):dtypedna; s(day_of_year):dtyperna; s(day_of_year):dtyperna_dna; s(days):dtypedna; s(days):dtyperna; s(days):dtyperna_dna",19,"s(water_temp):dtyperna; s(specific_conductivity):dtypedna; s(specific_conductivity):dtyperna; s(specific_conductivity):dtyperna_dna; s(salinity):dtypedna; s(salinity):dtyperna; s(salinity):dtyperna_dna; s(total_nitrogen):dtypedna; s(total_nitrogen):dtyperna; s(total_phosphorus):dtyperna; s(total_phosphorus):dtyperna_dna; s(doc):dtypedna; s(secchi_depth):dtyperna; s(ph):dtypedna; s(ph):dtyperna; s(ph):dtyperna_dna; s(dissolved_oxygen):dtyperna; s(days):dtyperna; s(days):dtyperna_dna",TRUE
"ASV_005",74.4,1360.2,NA,"",1,TRUE,"s(water_temp):dtypedna; s(water_temp):dtyperna; s(water_temp):dtyperna_dna; s(specific_conductivity):dtypedna; s(specific_conductivity):dtyperna; s(specific_conductivity):dtyperna_dna; s(salinity):dtypedna; s(salinity):dtyperna; s(salinity):dtyperna_dna; s(total_nitrogen):dtypedna; s(total_nitrogen):dtyperna; s(total_nitrogen):dtyperna_dna; s(doc):dtypedna; s(doc):dtyperna; s(doc):dtyperna_dna; s(secchi_depth):dtypedna; s(secchi_depth):dtyperna; s(secchi_depth):dtyperna_dna; s(ph):dtypedna; s(ph):dtyperna; s(ph):dtyperna_dna; s(dissolved_oxygen):dtypedna; s(dissolved_oxygen):dtyperna; s(dissolved_oxygen):dtyperna_dna; s(day_of_year):dtypedna; s(day_of_year):dtyperna; s(day_of_year):dtyperna_dna; s(days):dtypedna; s(days):dtyperna; s(days):dtyperna_dna",17,"s(water_temp):dtyperna; s(specific_conductivity):dtypedna; s(specific_conductivity):dtyperna; s(salinity):dtypedna; s(salinity):dtyperna; s(salinity):dtyperna_dna; s(total_nitrogen):dtypedna; s(total_nitrogen):dtyperna_dna; s(total_phosphorus):dtyperna; s(total_phosphorus):dtyperna_dna; s(doc):dtypedna; s(doc):dtyperna; s(doc):dtyperna_dna; s(secchi_depth):dtyperna; s(ph):dtypedna; s(ph):dtyperna_dna; s(dissolved_oxygen):dtyperna",TRUE
"ASV_006",55.6,870.7,NA,"",1,TRUE,"s(water_temp):dtypedna; s(water_temp):dtyperna; s(water_temp):dtyperna_dna; s(specific_conductivity):dtypedna; s(specific_conductivity):dtyperna; s(specific_conductivity):dtyperna_dna; s(salinity):dtypedna; s(salinity):dtyperna; s(salinity):dtyperna_dna; s(total_nitrogen):dtypedna; s(total_nitrogen):dtyperna; s(total_nitrogen):dtyperna_dna; s(doc):dtypedna; s(doc):dtyperna; s(doc):dtyperna_dna; s(secchi_depth):dtypedna; s(secchi_depth):dtyperna; s(secchi_depth):dtyperna_dna; s(ph):dtypedna; s(ph):dtyperna; s(ph):dtyperna_dna; s(dissolved_oxygen):dtypedna; s(dissolved_oxygen):dtyperna; s(dissolved_oxygen):dtyperna_dna; s(day_of_year):dtypedna; s(day_of_year):dtyperna; s(day_of_year):dtyperna_dna; s(days):dtypedna; s(days):dtyperna; s(days):dtyperna_dna",21,"s(water_temp):dtyperna; s(specific_conductivity):dtypedna; s(specific_conductivity):dtyperna_dna; s(salinity):dtypedna; s(salinity):dtyperna; s(salinity):dtyperna_dna; s(total_nitrogen):dtypedna; s(total_nitrogen):dtyperna; s(total_nitrogen):dtyperna_dna; s(total_phosphorus):dtyperna; s(doc):dtypedna; s(doc):dtyperna; s(doc):dtyperna_dna; s(secchi_depth):dtypedna; s(secchi_depth):dtyperna; s(secchi_depth):dtyperna_dna; s(dissolved_oxygen):dtypedna; s(dissolved_oxygen):dtyperna; s(dissolved_oxygen):dtyperna_dna; s(day_of_year):dtyperna; s(days):dtyperna",TRUE
"ASV_007",41.7,908.8,NA,"",1,TRUE,"s(water_temp):dtypedna; s(water_temp):dtyperna; s(water_temp):dtyperna_dna; s(specific_conductivity):dtypedna; s(specific_conductivity):dtyperna; s(specific_conductivity):dtyperna_dna; s(salinity):dtypedna; s(salinity):dtyperna; s(salinity):dtyperna_dna; s(total_nitrogen):dtypedna; s(total_nitrogen):dtyperna; s(total_nitrogen):dtyperna_dna; s(doc):dtypedna; s(doc):dtyperna; s(doc):dtyperna_dna; s(secchi_depth):dtypedna; s(secchi_depth):dtyperna; s(secchi_depth):dtyperna_dna; s(ph):dtypedna; s(ph):dtyperna; s(ph):dtyperna_dna; s(dissolved_oxygen):dtypedna; s(dissolved_oxygen):dtyperna; s(dissolved_oxygen):dtyperna_dna; s(day_of_year):dtypedna; s(day_of_year):dtyperna; s(day_of_year):dtyperna_dna; s(days):dtypedna; s(days):dtyperna; s(days):dtyperna_dna",22,"s(water_temp):dtypedna; s(specific_conductivity):dtypedna; s(specific_conductivity):dtyperna; s(specific_conductivity):dtyperna_dna; s(salinity):dtypedna; s(salinity):dtyperna; s(salinity):dtyperna_dna; s(total_phosphorus):dtypedna; s(total_phosphorus):dtyperna; s(total_phosphorus):dtyperna_dna; s(doc):dtypedna; s(doc):dtyperna; s(doc):dtyperna_dna; s(secchi_depth):dtypedna; s(secchi_depth):dtyperna; s(secchi_depth):dtyperna_dna; s(ph):dtypedna; s(ph):dtyperna; s(ph):dtyperna_dna; s(dissolved_oxygen):dtypedna; s(dissolved_oxygen):dtyperna; s(days):dtypedna",TRUE
"ASV_008",68.1,1004.9,NA,"",1,TRUE,"s(water_temp):dtypedna; s(water_temp):dtyperna; s(water_temp):dtyperna_dna; s(specific_conductivity):dtypedna; s(specific_conductivity):dtyperna; s(specific_conductivity):dtyperna_dna; s(salinity):dtypedna; s(salinity):dtyperna; s(salinity):dtyperna_dna; s(total_nitrogen):dtypedna; s(total_nitrogen):dtyperna; s(total_nitrogen):dtyperna_dna; s(doc):dtypedna; s(doc):dtyperna; s(doc):dtyperna_dna; s(secchi_depth):dtypedna; s(secchi_depth):dtyperna; s(secchi_depth):dtyperna_dna; s(ph):dtypedna; s(ph):dtyperna; s(ph):dtyperna_dna; s(dissolved_oxygen):dtypedna; s(dissolved_oxygen):dtyperna; s(dissolved_oxygen):dtyperna_dna; s(day_of_year):dtypedna; s(day_of_year):dtyperna; s(day_of_year):dtyperna_dna; s(days):dtypedna; s(days):dtyperna; s(days):dtyperna_dna",17,"s(water_temp):dtypedna; s(water_temp):dtyperna; s(specific_conductivity):dtypedna; s(specific_conductivity):dtyperna; s(specific_conductivity):dtyperna_dna; s(salinity):dtypedna; s(salinity):dtyperna; s(salinity):dtyperna_dna; s(total_nitrogen):dtypedna; s(total_nitrogen):dtyperna; s(total_nitrogen):dtyperna_dna; s(doc):dtypedna; s(secchi_depth):dtypedna; s(secchi_depth):dtyperna; s(ph):dtypedna; s(ph):dtyperna; s(ph):dtyperna_dna",TRUE
"ASV_009",83.2,671.6,NA,"",1,TRUE,"s(water_temp):dtypedna; s(water_temp):dtyperna; s(water_temp):dtyperna_dna; s(specific_conductivity):dtypedna; s(specific_conductivity):dtyperna; s(specific_conductivity):dtyperna_dna; s(salinity):dtypedna; s(salinity):dtyperna; s(salinity):dtyperna_dna; s(total_nitrogen):dtypedna; s(total_nitrogen):dtyperna; s(total_nitrogen):dtyperna_dna; s(doc):dtypedna; s(doc):dtyperna; s(doc):dtyperna_dna; s(secchi_depth):dtypedna; s(secchi_depth):dtyperna; s(secchi_depth):dtyperna_dna; s(ph):dtypedna; s(ph):dtyperna; s(ph):dtyperna_dna; s(dissolved_oxygen):dtypedna; s(dissolved_oxygen):dtyperna; s(dissolved_oxygen):dtyperna_dna; s(day_of_year):dtypedna; s(day_of_year):dtyperna; s(day_of_year):dtyperna_dna; s(days):dtypedna; s(days):dtyperna; s(days):dtyperna_dna",14,"s(specific_conductivity):dtyperna; s(salinity):dtypedna; s(salinity):dtyperna; s(salinity):dtyperna_dna; s(total_nitrogen):dtyperna; s(total_phosphorus):dtypedna; s(total_phosphorus):dtyperna; s(total_phosphorus):dtyperna_dna; s(doc):dtypedna; s(doc):dtyperna; s(secchi_depth):dtypedna; s(secchi_depth):dtyperna; s(secchi_depth):dtyperna_dna; s(ph):dtyperna_dna",TRUE
"ASV_010",65.1,741.3,NA,"",1,TRUE,"s(water_temp):dtypedna; s(water_temp):dtyperna; s(water_temp):dtyperna_dna; s(specific_conductivity):dtypedna; s(specific_conductivity):dtyperna; s(specific_conductivity):dtyperna_dna; s(salinity):dtypedna; s(salinity):dtyperna; s(salinity):dtyperna_dna; s(total_nitrogen):dtypedna; s(total_nitrogen):dtyperna; s(total_nitrogen):dtyperna_dna; s(doc):dtypedna; s(doc):dtyperna; s(doc):dtyperna_dna; s(secchi_depth):dtypedna; s(secchi_depth):dtyperna; s(secchi_depth):dtyperna_dna; s(ph):dtypedna; s(ph):dtyperna; s(ph):dtyperna_dna; s(dissolved_oxygen):dtypedna; s(dissolved_oxygen):dtyperna; s(dissolved_oxygen):dtyperna_dna; s(day_of_year):dtypedna; s(day_of_year):dtyperna; s(day_of_year):dtyperna_dna; s(days):dtypedna; s(days):dtyperna; s(days):dtyperna_dna",18,"s(water_temp):dtypedna; s(water_temp):dtyperna; s(water_temp):dtyperna_dna; s(specific_conductivity):dtypedna; s(salinity):dtypedna; s(total_nitrogen):dtyperna; s(total_phosphorus):dtyperna; s(doc):dtyperna; s(secchi_depth):dtypedna; s(secchi_depth):dtyperna; s(secchi_depth):dtyperna_dna; s(ph):dtypedna; s(ph):dtyperna; s(ph):dtyperna_dna; s(dissolved_oxygen):dtypedna; s(dissolved_oxygen):dtyperna; s(dissolved_oxygen):dtyperna_dna; s(days):dtyperna_dna",TRUE
