asv_id,predictor,comparison,spearman_r,p_raw,p_adj_BH,sig_BH,sig_raw
ASV_001,water_temp,rRNA:rDNA vs rDNA,0.8429,3.9753616043762123e-28,7.29459556531169e-28,True,True
ASV_002,water_temp,rRNA:rDNA vs rDNA,1.0,3.448065874529609e-228,1.5155452332234793e-227,True,True
ASV_003,water_temp,rRNA:rDNA vs rDNA,-0.8243,5.984297724097989e-26,1.067011575334453e-25,True,True
ASV_004,water_temp,rRNA:rDNA vs rDNA,-0.721,2.6863175482302346e-17,4.1277562326464576e-17,True,True
ASV_005,water_temp,rRNA:rDNA vs rDNA,0.6199,6.090187945817334e-12,8.526263124144268e-12,True,True
ASV_006,water_temp,rRNA:rDNA vs rDNA,-1.0,0.0,0.0,True,True
ASV_007,water_temp,rRNA:rDNA vs rDNA,0.7915,1.1078573772626467e-22,1.8367109149354405e-22,True,True
ASV_008,water_temp,rRNA:rDNA vs rDNA,0.259,0.009278989629456738,0.010196099069577462,True,True
ASV_009,water_temp,rRNA:rDNA vs rDNA,-0.5337,1.0778251476205044e-08,1.3764118439207793e-08,True,True
ASV_010,water_temp,rRNA:rDNA vs rDNA,0.0626,0.5359444283162854,0.5475324159555565,False,False
ASV_011,water_temp,rRNA:rDNA vs rDNA,0.0416,0.6810516302074684,0.6920363339204921,False,False
ASV_012,water_temp,rRNA:rDNA vs rDNA,-0.21,0.03594918837276626,0.03817076742951025,True,True
ASV_013,water_temp,rRNA:rDNA vs rDNA,-0.0065,0.9486932247656485,0.9537394653229126,False,False
ASV_014,water_temp,rRNA:rDNA vs rDNA,-0.6151,9.870889886480396e-12,1.3617505025874414e-11,True,True
ASV_015,water_temp,rRNA:rDNA vs rDNA,-1.0,0.0,0.0,True,True
ASV_016,water_temp,rRNA:rDNA vs rDNA,-0.511,5.5453774290828e-08,7.03406935635335e-08,True,True
ASV_017,water_temp,rRNA:rDNA vs rDNA,-0.8031,9.05338525113624e-24,1.5277587611292405e-23,True,True
ASV_018,water_temp,rRNA:rDNA vs rDNA,-0.1494,0.1378228070180896,0.14391442279789468,False,False
ASV_019,water_temp,rRNA:rDNA vs rDNA,-1.0,0.0,0.0,True,True
ASV_020,water_temp,rRNA:rDNA vs rDNA,-0.235,0.01861773857952523,0.020339610355666293,True,True
ASV_021,water_temp,rRNA:rDNA vs rDNA,-0.8145,6.53716001532977e-25,1.1335075622911252e-24,True,True
ASV_001,specific_conductivity,rRNA:rDNA vs rDNA,-0.9536,6.8272006708165645e-53,1.697817008926751e-52,True,True
ASV_002,specific_conductivity,rRNA:rDNA vs rDNA,0.3463,0.00041691683052064843,0.00047468241547230454,True,True
ASV_003,specific_conductivity,rRNA:rDNA vs rDNA,0.8228,8.628739221279625e-26,1.5100293637239343e-25,True,True
ASV_004,specific_conductivity,rRNA:rDNA vs rDNA,0.9286,5.451036087887913e-44,1.2120539066009597e-43,True,True
ASV_005,specific_conductivity,rRNA:rDNA vs rDNA,0.6124,1.28775809858253e-11,1.750980436202145e-11,True,True
ASV_006,specific_conductivity,rRNA:rDNA vs rDNA,-0.9221,3.291352387869682e-42,7.150179325372068e-42,True,True
ASV_007,specific_conductivity,rRNA:rDNA vs rDNA,0.9347,7.887046135184727e-46,1.7959659271685703e-45,True,True
ASV_008,specific_conductivity,rRNA:rDNA vs rDNA,-1.0,0.0,0.0,True,True
ASV_009,specific_conductivity,rRNA:rDNA vs rDNA,-0.8581,3.938150236643182e-30,7.595004027811851e-30,True,True
ASV_010,specific_conductivity,rRNA:rDNA vs rDNA,0.3517,0.00033346210388528804,0.00038196568263223904,True,True
ASV_011,specific_conductivity,rRNA:rDNA vs rDNA,-0.2237,0.025240454629023218,0.027104806391394252,True,True
ASV_012,specific_conductivity,rRNA:rDNA vs rDNA,-0.4684,8.895416243180687e-07,1.0708494713128342e-06,True,True
ASV_013,specific_conductivity,rRNA:rDNA vs rDNA,-0.2802,0.004754239636879536,0.005316871546569422,True,True
ASV_014,specific_conductivity,rRNA:rDNA vs rDNA,1.0,0.0,0.0,True,True
ASV_015,specific_conductivity,rRNA:rDNA vs rDNA,-0.9998,3.4483854270324915e-169,1.4483218793536466e-168,True,True
ASV_016,specific_conductivity,rRNA:rDNA vs rDNA,0.7052,2.5993115430672764e-16,3.868266784564687e-16,True,True
