predictor,pred_label,comparison,n_asv,n_alt_greater,n_dna_greater,pct_alt_greater,median_diff,ci_lo,ci_hi,rank_biserial,W_stat,p_raw,p_adj_BH,sig,direction
salinity,Salinity,RNA vs DNA,21,6,15,28.6,-3.281491,-11.444245,-1.660408,0.558,51.0,0.02385425567626953,0.04373280207316081,True,DNA > alt
salinity,Salinity,RNA:DNA vs DNA,21,14,7,66.7,5.718703,-0.100754,9.088986,0.515,56.0,0.038437843322753906,0.0650486579308143,False,n.s.
specific_conductivity,Sp. conductivity,RNA vs DNA,21,6,15,28.6,-2.644244,-6.795389,-0.429635,0.567,50.0,0.02157115936279297,0.04373280207316081,True,DNA > alt
specific_conductivity,Sp. conductivity,RNA:DNA vs DNA,21,12,9,57.1,2.129965,-0.908114,4.396304,0.273,84.0,0.2877340316772461,0.351674927605523,False,n.s.
total_nitrogen,Total N,RNA vs DNA,21,7,14,33.3,-0.276574,-0.590596,0.08177,0.506,57.0,0.042079925537109375,0.06612559727260045,False,n.s.
total_nitrogen,Total N,RNA:DNA vs DNA,21,16,5,76.2,0.27428,0.014184,0.576135,0.593,47.0,0.01578044891357422,0.04289182027180989,True,alt > DNA
ph,pH,RNA vs DNA,21,9,12,42.9,-0.011102,-0.047943,0.048413,0.03,112.0,0.9186935424804688,0.9186935424804688,False,n.s.
ph,pH,RNA:DNA vs DNA,21,17,4,81.0,0.13713,0.056571,0.414999,0.732,31.0,0.0021514892578125,0.01257171630859375,True,alt > DNA
doc,DOC,RNA vs DNA,21,14,7,66.7,0.009351,-0.040391,0.120913,0.247,87.0,0.3376598358154297,0.39097454673365545,False,n.s.
doc,DOC,RNA:DNA vs DNA,21,16,5,76.2,0.145509,0.042696,0.191616,0.714,33.0,0.002857208251953125,0.01257171630859375,True,alt > DNA
secchi_depth,Secchi depth,RNA vs DNA,21,15,6,71.4,0.125633,0.007953,0.215322,0.593,47.0,0.01578044891357422,0.04289182027180989,True,alt > DNA
secchi_depth,Secchi depth,RNA:DNA vs DNA,21,19,2,90.5,0.13875,0.104717,0.288015,0.922,9.0,3.147125244140625e-05,0.00034618377685546875,True,alt > DNA
dissolved_oxygen,Dissolved O₂,RNA vs DNA,21,10,11,47.6,-0.001117,-0.028944,0.008435,0.229,89.0,0.37372493743896484,0.41109743118286135,False,n.s.
dissolved_oxygen,Dissolved O₂,RNA:DNA vs DNA,21,15,6,71.4,0.03239,0.001873,0.049331,0.558,51.0,0.02385425567626953,0.04373280207316081,True,alt > DNA
water_temp,Water temp,RNA vs DNA,21,8,13,38.1,-0.00524,-0.041686,0.008251,0.333,77.0,0.1906871795654297,0.24677164414349725,False,n.s.
water_temp,Water temp,RNA:DNA vs DNA,21,16,5,76.2,0.019609,0.00702,0.0583,0.584,48.0,0.017546653747558594,0.04289182027180989,True,alt > DNA
day_of_year,Day of year,RNA vs DNA,21,14,7,66.7,0.00293,-0.002359,0.005982,0.368,73.0,0.14696407318115234,0.20207560062408447,False,n.s.
day_of_year,Day of year,RNA:DNA vs DNA,21,20,1,95.2,0.01561,0.00571,0.021387,0.931,8.0,2.384185791015625e-05,0.00034618377685546875,True,alt > DNA
days,Days,RNA vs DNA,21,4,17,19.0,-0.001294,-0.002214,-0.00025,0.697,35.0,0.0037527084350585938,0.013759930928548178,True,DNA > alt
days,Days,RNA:DNA vs DNA,21,14,7,66.7,0.000363,-0.000458,0.001056,0.212,91.0,0.41198158264160156,0.4315997532435826,False,n.s.
total_phosphorus,Total P,RNA vs DNA,21,6,15,28.6,-0.002689,-0.007035,-0.001118,0.714,33.0,0.002857208251953125,0.01257171630859375,True,DNA > alt
total_phosphorus,Total P,RNA:DNA vs DNA,21,9,12,42.9,-0.001967,-0.003596,0.000605,0.368,73.0,0.14696407318115234,0.20207560062408447,False,n.s.
