Temperature (C),Dilution (h^-1),Dry weight (ug/mL),Output (mg dry weight per-hr),Respiration (mmol O2 per-hour),Yield (g dry weight per g-atom O)
17.5,0.086,379,10.8,0.32,16.9
17.5,0.091,373,11.1,0.28,19.3
17.5,0.145,369,17.7,0.41,22
17.5,0.192,220,13.9,0.32,21.9
17.5,0.269,97,8.6,0.18,24.2
17.5,0.37,21,2.6,0.055,24.5
23.5,0.127,331,13.9,0.45,15.4
23.5,0.183,367,22.2,0.55,20
23.5,0.229,365,27.6,0.7,19.7
23.5,0.293,398,38.6,0.89,21.6
23.5,0.336,419,46.9,0.99,23.6
23.5,0.373,273,34.1,0.8,21.2
30,0.172,332,18.3,0.57,16.1
30,0.172,335,19,0.56,17
30,0.236,367,28.6,0.78,18.3
30,0.295,378,36.8,0.9,20.4
30,0.078,203,5.38,0.24,11.2
30,0.13,221,9.49,0.32,14.6
30,0.181,242,14.7,0.46,16.2
30,0.233,280,21.6,0.58,18.8
32,0.108,257,9.25,0.34,12.6
32,0.134,210,9.29,0.33,13.9
32,0.191,265,11.6,0.52,16.1
32,0.254,276,23.2,0.64,18
34.5,0.108,196,7.06,0.33,10.7
34.5,0.161,199,10.6,0.45,11.7
34.5,0.21,198,13.7,0.57,13.7
34.5,0.27,201,18,0.72,12.5
42,0.112,126,5.67,0.54,5.25
42,0.159,130,8.2,0.59,6.89
42,0.268,115,12.1,0.8,7.56
42,0.324,118,15.2,0.81,9.38
